name; year; decade; crew; capacity; length; wingspan; wingarea; emptyweight; grossweight; maxspeed; cruisespeed; stallspeed; range; fuelcapacity; power
Apollo Jet Star; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.5; 15.0; 180.0; 430.0; 67.0; 59.0; 30.0; UNKNOWN; UNKNOWN; 60.0
Apollo Racer GT; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 15.0; 140.0; 430.0; 76.0; 54.0; 30.0; UNKNOWN; UNKNOWN; 48.0
Aquilair Kid; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.9; 12.9; 132.0; 300.0; 78.0; 49.0; 28.0; UNKNOWN; UNKNOWN; 37.0
Aquilair Swing; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.9; 14.9; 155.0; 405.0; 81.0; 49.0; 30.0; UNKNOWN; UNKNOWN; 48.0
Aviasouz Cruise; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 14.0; 180.0; 430.0; 67.0; 49.0; 30.0; UNKNOWN; UNKNOWN; 48.0
Aviation Products Star Trike; 1980; 1980; one; UNKNOWN; UNKNOWN; 10.0; 15.5; 170.0; 472.5; 76.0; 65.0; 25.0; UNKNOWN; UNKNOWN; 48.0
AVIC Lucky Bird; UNKNOWN; 2010; one; one or two passengers; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 60.0
Avio Delta Thruster; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.5; 12.3; 32.0; 200.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 21.0
Avio Design Swan; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.5; 12.3; 133.0; 420.0; 78.0; 54.0; 30.0; UNKNOWN; UNKNOWN; 48.0
Bautek Skycruiser; 2009; 2000; one; UNKNOWN; UNKNOWN; 9.5; 12.2; 75.0; 238.0; 70.0; 49.0; 23.0; UNKNOWN; UNKNOWN; 28.0
BB Microlight 103; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 7.9; 12.5; 113.0; 294.0; 54.0; 45.0; 23.0; UNKNOWN; UNKNOWN; 30.0
BB Microlight BB-two seater; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.1; 16.0; 91.0; 375.0; 65.0; 46.0; 22.0; UNKNOWN; UNKNOWN; 37.0
Cosmik Chaser; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 8.1; 10.0; 98.0; UNKNOWN; 65.0; 52.0; 30.0; UNKNOWN; UNKNOWN; 30.0
Drachen Studio Kecur Royal 912; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.48; 15.0; 230.0; 450.0; 81.0; 62.0; 33.0; UNKNOWN; UNKNOWN; 60.0
Drachen Studio Kecur EOS 15; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 10.48; 15.0; UNKNOWN; 450.0; 81.0; 62.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
DTA Combo; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.4; 12.0; 243.0; 472.5; 86.0; 70.0; 31.0; UNKNOWN; UNKNOWN; 75.0
DTA Diva; 2009; 2000; UNKNOWN; UNKNOWN; 2.96; 9.4; 12.0; 54.0; 450.0; UNKNOWN; 65.0; 33.0; UNKNOWN; UNKNOWN; UNKNOWN
DTA Dynamic; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 3.0; 10.2; 15.5; 59.0; 450.0; UNKNOWN; 59.0; 27.0; UNKNOWN; UNKNOWN; UNKNOWN
DTA Magic; 2010; 2010; UNKNOWN; UNKNOWN; 2.68; 9.4; 12.0; 59.0; 450.0; UNKNOWN; UNKNOWN; 29.0; UNKNOWN; UNKNOWN; UNKNOWN
DTA Feeling; UNKNOWN; 2000; one; one passenger; UNKNOWN; UNKNOWN; 12.0; 200.0; 450.0; 76.0; 54.0; 32.0; UNKNOWN; UNKNOWN; 48.0
DTA Voyageur; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.2; 15.5; 226.0; 450.0; 73.0; 54.0; 33.0; UNKNOWN; UNKNOWN; 75.0
DTA Alizés; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
DTA Evolution; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.3; 14.5; 166.0; 400.0; 62.0; 49.0; 27.0; UNKNOWN; UNKNOWN; 37.0
Electravia Electro Trike; 2008; 2000; one; UNKNOWN; UNKNOWN; 10.0; 16.0; 85.0; 193.0; 40.0; 35.0; 24.0; UNKNOWN; UNKNOWN; 19.0
Eurofly Viper; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.5; 12.0; 126.0; 450.0; 86.0; 67.0; 26.0; UNKNOWN; UNKNOWN; 48.0
Evolution Revo; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.2; 13.5; 240.0; 470.0; 54.0; 43.0; 19.0; UNKNOWN; 57.0; 75.0
Exkluziv Joker; UNKNOWN; 2000; one; one passenger; UNKNOWN; 12.2; 9.5; 219.0; 450.0; 81.0; 65.0; 32.0; UNKNOWN; UNKNOWN; 60.0
Flight Team Spider; UNKNOWN; 1990; one; one passenger; UNKNOWN; 9.5; 12.0; 180.0; 450.0; 70.0; 54.0; 30.0; UNKNOWN; UNKNOWN; 48.0
Flight Team Twister; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 15.0; 198.0; 450.0; 70.0; 59.0; 32.0; UNKNOWN; UNKNOWN; 60.0
Fly Air Swallow; 2007; 2000; one; one passenger; UNKNOWN; 10.4; 15.6; 131.0; UNKNOWN; 59.0; UNKNOWN; 26.0; UNKNOWN; UNKNOWN; 37.0
Fly Hard Trikes SkyCycle; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 10.0; 14.9; 93.0; 181.0; 57.0; UNKNOWN; 22.0; UNKNOWN; 19.0; 24.0
Flying Machines FM301 Stream; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.5; 15.4; 175.0; 450.0; 73.0; 54.0; 28.0; UNKNOWN; UNKNOWN; 45.0
Flylight Dragonfly; 2007; 2000; one; UNKNOWN; UNKNOWN; 10.3; 14.7; 80.0; UNKNOWN; 54.0; 31.0; 21.0; UNKNOWN; UNKNOWN; 16.0
Flylight E-Dragon; UNKNOWN; 2010; one; UNKNOWN; UNKNOWN; 10.3; 14.7; UNKNOWN; UNKNOWN; 51.0; 38.0; UNKNOWN; UNKNOWN; UNKNOWN; 9.7
Flylight Motorfloater; 2010; 2010; one; UNKNOWN; UNKNOWN; 9.6; 16.2; 72.0; 205.0; 43.0; 29.0; UNKNOWN; UNKNOWN; UNKNOWN; 19.0
FUL MA 30 Graffiti; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.1; 14.8; 185.0; 400.0; 62.0; 49.0; 29.0; UNKNOWN; UNKNOWN; 48.0
Gdecouv'R 582; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.87; 13.0; 132.0; 450.0; 78.0; 54.0; 27.0; UNKNOWN; UNKNOWN; 48.0
General Aviation Design Bureau T-32 Maverick; UNKNOWN; 2010; one; two passengers on a bench seat; UNKNOWN; 10.2; 16.5; 280.0; UNKNOWN; 76.0; 54.0; 30.0; UNKNOWN; UNKNOWN; 60.0
General Aviation Design Bureau T-2 Maverick; 1995; 1990; one; one passenger; UNKNOWN; 10.2; 16.5; 190.0; 450.0; 70.0; 46.0; 30.0; UNKNOWN; UNKNOWN; 48.0
Hubertec Thermik; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.6; 17.2; 48.0; 200.0; 45.0; 32.0; 15.0; UNKNOWN; UNKNOWN; 19.0
Icaro Pit-Trike; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 10.48; 14.88; 70.0; 173.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 10.0
Junkers Profly Junkers Trike; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.6; 12.8; 186.0; 450.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 48.0
Keitek Streamer; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.8; 12.0; 185.0; 450.0; UNKNOWN; 86.0; 35.0; UNKNOWN; UNKNOWN; 60.0
Kompol Jazz; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.83; 14.6; 186.0; 450.0; 78.0; 46.0; 35.0; UNKNOWN; UNKNOWN; 48.0
Krasniye Kryl'ya Deltacraft MD-50C; UNKNOWN; 2000; one; one passenger; UNKNOWN; UNKNOWN; 14.0; 178.0; 380.0; 67.0; 46.0; UNKNOWN; UNKNOWN; UNKNOWN; 48.0
Krasniye Kryl'ya Deltacraft MD-40; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; UNKNOWN; 16.7; 160.0; 340.0; 51.0; 40.0; UNKNOWN; UNKNOWN; UNKNOWN; 37.0
Sea and Sky Cygnet; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.3; 17.6; 240.0; 450.0; 52.0; 32.0; 27.0; UNKNOWN; 38.0; 48.0
La Mouette Samson; UNKNOWN; 2010; one; one passenger, maximum of 150&#160;kg (331&#160;lb) total; UNKNOWN; UNKNOWN; 19.0; 70.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 14.0
North Wing Sport X2; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.6; 15.0; 204.0; 481.0; UNKNOWN; 41.0; 30.0; UNKNOWN; UNKNOWN; 48.0
Pagotto Brako; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.35; 16.0; 158.0; 450.0; 54.0; 40.0; 24.0; UNKNOWN; UNKNOWN; 37.0
Parazoom Trio-Star Delta; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.7; 12.7; 91.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 25.0
Polaris AM-FIB; 2003; 2000; one; one passenger; UNKNOWN; 11.15; 19.6; 239.0; 406.0; 43.0; 38.0; 26.0; UNKNOWN; UNKNOWN; 48.0
Polaris FIB; UNKNOWN; 1980; one; one passenger; UNKNOWN; 11.15; 19.6; 216.0; 406.0; 43.0; 38.0; 26.0; UNKNOWN; UNKNOWN; 48.0
Polaris Skin; UNKNOWN; 1980; one; one passenger; UNKNOWN; 10.6; 15.8; 155.0; 360.0; 50.0; UNKNOWN; 24.0; UNKNOWN; UNKNOWN; 37.0
PowerTrike Evolution; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.5; 12.0; 178.0; 472.5; 69.0; 59.0; 24.0; UNKNOWN; UNKNOWN; 48.0
PowerTrike II; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.5; 14.9; 198.0; 450.0; 70.0; 54.0; 32.0; UNKNOWN; UNKNOWN; 71.0
PowerTrike Light; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.7; 12.2; 120.0; 220.0; 65.0; 49.0; 24.0; UNKNOWN; UNKNOWN; 22.0
Quander Airpfeil; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.5; 13.0; 130.0; 400.0; 78.0; 65.0; 27.0; UNKNOWN; UNKNOWN; 48.0
Quander Micropfeil; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 10.8; 14.0; 80.0; 300.0; 65.0; 49.0; 23.0; UNKNOWN; UNKNOWN; 30.0
Ramphos Trident; 1998; 1990; one; one passenger; UNKNOWN; 10.5; 15.0; 200.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 60.0
ViS Sprint; 2004; 2000; UNKNOWN; Two; 6.14; 9.6; 12.4; 301.0; UNKNOWN; 92.0; 70.0; 32.0; UNKNOWN; UNKNOWN; 73.5
KhAZ ViS-3; 2006; 2000; UNKNOWN; Two; 6.32; 8.956; 12.4; 315.0; UNKNOWN; 97.0; 81.0; UNKNOWN; UNKNOWN; UNKNOWN; 73.5
Rossi Shuttle Quik; UNKNOWN; 2000; one; one passenger; UNKNOWN; 8.0; 10.6; UNKNOWN; 409.0; 91.0; 71.0; 33.0; UNKNOWN; UNKNOWN; 75.0
Valley Engineering Backyard Flyer; UNKNOWN; UNKNOWN; one; UNKNOWN; 7.9; UNKNOWN; UNKNOWN; 114.0; 272.0; UNKNOWN; 48.0; UNKNOWN; UNKNOWN; UNKNOWN; 28.0
SDB Karat; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.8; 10.0; 91.0; 220.0; 67.0; 49.0; 24.0; UNKNOWN; UNKNOWN; 21.0
Silent Family Silent Glider M; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 14.0; 16.0; 118.5; 231.0; 54.0; 49.0; 22.0; UNKNOWN; UNKNOWN; 21.0
Silent Family Silent Racer; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 10.0; 200.0; 450.0; 76.0; 54.0; 243.0; UNKNOWN; UNKNOWN; 40.0
Skyjam ST-Freestyle; UNKNOWN; 2010; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Skyrider Sonic; UNKNOWN; 2000; one; one passenger; UNKNOWN; 9.8; 12.0; 165.0; 450.0; 86.0; 67.0; 30.0; UNKNOWN; UNKNOWN; 63.0
Skyrider Stingray; 2007; 2000; one; one passenger; UNKNOWN; 10.1; 14.8; 169.0; 450.0; 70.0; 59.0; 35.0; UNKNOWN; UNKNOWN; 60.0
Solid Air Diamant LP; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.7; 12.2; 118.0; 238.0; 70.0; 54.0; 24.0; UNKNOWN; UNKNOWN; 37.0
Solid Air Diamant Twin; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.1; 14.8; 190.0; 450.0; 81.0; 50.0; 32.0; UNKNOWN; UNKNOWN; 62.0
Stellar Astra; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.5; 15.6; 220.0; 435.0; 67.0; 54.0; 32.0; UNKNOWN; UNKNOWN; 45.0
Sunair Sunlight; 2010; 2010; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 38.0; 35.0; UNKNOWN; UNKNOWN; UNKNOWN; 15.0
Take Off Merlin; 1994; 1990; one; one passenger; UNKNOWN; 10.0; 15.2; 230.0; UNKNOWN; 76.0; 65.0; 30.0; UNKNOWN; UNKNOWN; 71.0
Trike Icaros Adventure S; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 16.0; 180.0; 420.0; 65.0; 49.0; 28.0; UNKNOWN; UNKNOWN; 60.0
TrikeBuggy Delta; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 10.7; 21.2; 32.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 19.0; 17.0
Schmidtler Enduro; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 17.0; UNKNOWN; UNKNOWN; 65.0; 54.0; 34.0; UNKNOWN; UNKNOWN; 75.0
Ventura 1200; UNKNOWN; 2000; one; one passenger; UNKNOWN; 10.0; 15.0; 245.0; 450.0; 78.0; UNKNOWN; 35.0; UNKNOWN; UNKNOWN; 75.0
Raj Hamsa Clipper; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.1; 16.0; 160.0; 350.0; 54.0; 38.0; 27.0; 76.0; UNKNOWN; 37.0
Raj Hamsa Voyager; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.1; 14.2; 160.0; 360.0; 65.0; 49.0; 30.0; 189.0; UNKNOWN; 37.0
Yuneec International ETrike; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 9.5; 12.3; UNKNOWN; 200.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 10.0
Powrachute Sky Rascal; UNKNOWN; 2000; one; UNKNOWN; UNKNOWN; 10.0; 40.0; 115.0; 350.0; 31.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 40.0
Alliant Destiny Fusion; UNKNOWN; 2000; two; UNKNOWN; UNKNOWN; UNKNOWN; 50.0; 154.0; 385.0; UNKNOWN; 25.0; UNKNOWN; UNKNOWN; UNKNOWN; 39.0
Alliant Destiny XLT; UNKNOWN; 2000; two; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 175.0; 450.0; 30.0; 28.0; UNKNOWN; UNKNOWN; UNKNOWN; 48.0
Airfer Transan; UNKNOWN; 2000; two; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 154.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 39.0
Air Creation Twin; UNKNOWN; 1990; one; one passenger; 3.35; 10.06; 17.4; 129.0; 385.0; 56.0; 40.0; 25.0; UNKNOWN; UNKNOWN; 37.0
Bagalini Bagalini; UNKNOWN; 1990; one; UNKNOWN; 6.4; 10.67; 14.2; 115.0; 204.0; 52.0; 35.0; 23.0; 87.0; UNKNOWN; 30.0
Bagalini Baganfibio; UNKNOWN; 1960; one; one passenger; 6.71; 10.67; 15.5; 175.0; 344.0; 54.0; 37.0; 24.0; 113.0; UNKNOWN; 37.0
Bagalini Colombo; UNKNOWN; 1990; one; one passenger; 6.4; 10.49; UNKNOWN; 150.0; 318.0; 54.0; 36.0; 23.0; 104.0; UNKNOWN; 30.0
Bounsall Super Prospector; UNKNOWN; 1990; one; UNKNOWN; 5.89; 9.04; 11.22; 200.0; 363.0; 87.0; 78.0; 31.0; 261.0; 45.0; 45.0
Brutsche Freedom 40; UNKNOWN; 1990; one; UNKNOWN; 5.49; 8.53; 10.4; 150.0; 272.0; 76.0; UNKNOWN; 26.0; UNKNOWN; 38.0; 30.0
Butterfly Banty; 1984; 1980; one; UNKNOWN; 5.74; 9.75; 11.892; UNKNOWN; UNKNOWN; 52.0; 43.0; 22.0; 78.0; 19.0; 21.0
Duane's Hangar Ultrababy; 1997; 1990; one; UNKNOWN; 4.88; 8.38; 11.29; 136.0; 281.0; 65.0; 52.0; 30.0; 130.0; 19.0; 36.0
Early Bird Spad 13; UNKNOWN; 1990; one; UNKNOWN; 4.95; 6.15; 13.19; 249.0; 363.0; 78.0; 70.0; 39.0; 209.0; 34.0; 63.0
Early Bird Jenny; UNKNOWN; 1990; one; UNKNOWN; 5.59; 8.38; 16.26; 190.0; 363.0; 61.0; 56.0; 30.0; 113.0; 34.0; 37.0
Eurofly Fox; UNKNOWN; 1990; one; one passenger; 6.2; 9.6; 16.09; 190.0; 450.0; 65.0; 43.0; 22.0; UNKNOWN; UNKNOWN; 37.0
Eurofly Fire Fox; UNKNOWN; 1990; one; one passenger; 6.2; 9.6; 16.09; 220.0; 450.0; 70.0; 49.0; 24.0; UNKNOWN; UNKNOWN; 37.0
Eurofly Fire Cat; UNKNOWN; 1990; one; one passenger; 6.2; 9.6; 15.99; 218.0; 450.0; 70.0; 49.0; 24.0; UNKNOWN; UNKNOWN; 37.0
Freedom Lite SS-11 Skywatch; 1996; 1990; one; one passenger; 6.55; 10.06; 14.4; 191.0; 431.0; 78.0; 70.0; 25.0; 352.0; 34.0; 37.0
Laron Wizard; UNKNOWN; 1990; one; one passenger; 5.974; 9.3; 13.01; 210.0; 420.0; 104.0; 78.0; UNKNOWN; 235.0; 38.0; 48.0
Las Brisas Mohawk; UNKNOWN; 1990; one; one passenger; 5.49; 9.14; 11.57; 204.0; 454.0; 113.0; 74.0; 26.0; 278.0; 45.0; 37.0
Let-Mont Piper UL; UNKNOWN; 1990; one; one passenger; 6.08; 9.4; 12.7; 250.0; 450.0; 87.0; 65.0; 30.0; UNKNOWN; UNKNOWN; 37.0
Let-Mont Tulak; UNKNOWN; 1990; one; one passenger; UNKNOWN; 9.6; 13.01; 230.0; 450.0; 81.0; 59.0; 23.0; UNKNOWN; UNKNOWN; 37.0
Letov ST-4 Aztek; UNKNOWN; 1990; one; one passenger; 5.91; 10.4; 15.21; 220.0; 450.0; 71.0; 52.0; 27.0; 184.0; 57.0; 37.0
Stern ST 87 Vega; 1992; 1990; one; one passenger; UNKNOWN; 7.62; 10.0; 469.0; 726.0; 130.0; 109.0; 43.0; 652.0; UNKNOWN; 81.0
Microleve ML 450; UNKNOWN; 1990; one; one passenger; 6.84; 10.3; 16.48; 220.0; 980.0; 87.0; 61.0; 17.0; 193.0; UNKNOWN; 55.0
Midwest Questar Open Aire; UNKNOWN; 1990; one; UNKNOWN; 5.08; 8.74; 11.52; 100.0; 204.0; 52.0; 45.0; 22.0; UNKNOWN; 11.0; 22.0
Midwest Questar Sport; UNKNOWN; 1990; one; UNKNOWN; 5.33; 10.13; 15.33; 73.0; 181.0; 42.0; 33.0; 17.0; 52.0; 11.0; 22.0
Midwest Questar XLS; UNKNOWN; 1990; one; UNKNOWN; 5.18; 9.54; 13.56; 109.0; 227.0; 47.0; 39.0; 21.0; UNKNOWN; 19.0; 22.0
Midwest Questar Arrowstar; UNKNOWN; 1990; one; UNKNOWN; 4.57; 8.31; 12.08; 104.0; 204.0; 50.0; 42.0; 21.0; UNKNOWN; 11.0; 22.0
NWT Spruce Coupe; UNKNOWN; 1990; one; UNKNOWN; 4.98; 6.71; 8.175; 136.0; 272.0; 65.0; 52.0; 30.0; 70.0; 23.0; 34.0
Olympic Desert Eagle; UNKNOWN; 1990; one; one passenger; 6.55; 10.06; 15.33; 211.0; 544.0; 96.0; 74.0; 30.0; 222.0; 38.0; 60.0
Paxman Viper; 1994; 1990; one; one passenger; 6.25; 8.23; 9.48; 265.0; 476.0; 109.0; 96.0; 33.0; UNKNOWN; 64.0; 75.0
Peris JN-1; UNKNOWN; 1980; one; UNKNOWN; 5.28; 9.14; 13.01; 145.0; 272.0; 56.0; 52.0; 24.0; 96.0; 19.0; 28.0
Pipistrel Spider; UNKNOWN; 1980; one; one passenger; UNKNOWN; 10.5; UNKNOWN; 129.75; 450.0; 96.0; 65.0; 30.0; 269.0; UNKNOWN; 37.0
Progressive Aerodyne Stingray; UNKNOWN; 1990; one; UNKNOWN; 7.75; 9.4; 13.94; 215.0; 363.0; 74.0; 61.0; 23.0; 87.0; 23.0; 30.0
Raisner Graffiti; 1997; 1990; one; one passenger; UNKNOWN; 10.3; 14.86; 155.0; 396.0; 67.0; 49.0; 27.0; 174.0; UNKNOWN; 40.0
Storm 300; UNKNOWN; 1990; one; one passenger; 6.55; 7.92; 11.06; 322.0; 524.0; 174.0; 149.0; 30.0; 434.0; UNKNOWN; 86.0
Storm Sea Storm; UNKNOWN; 1990; one; one passenger; 7.47; 9.25; 12.24; 309.0; 608.0; 176.0; 129.0; 33.0; 904.0; UNKNOWN; 86.0
Storm 320E; UNKNOWN; 1990; one; one passenger; 6.55; 8.6; 11.06; 280.0; 450.0; 158.0; 131.0; 30.0; 540.0; UNKNOWN; 60.0
Storm RG Fury; UNKNOWN; 2000; one; one passenger; 7.2; 7.9; 10.27; 290.0; 450.0; 140.0; 132.0; 32.0; 864.0; UNKNOWN; 75.0
St Croix Pietenpol Aircamper; UNKNOWN; 1960; one; one passenger; 5.94; 8.99; 13.7; 295.0; 499.0; 91.0; 61.0; 35.0; UNKNOWN; 45.0; 30.0
Rowley P-40F; 1986; 1980; one; UNKNOWN; 7.01; 8.53; 11.89; 340.0; 544.0; 104.0; 96.0; 42.0; 350.0; 83.0; 75.0
Aero Designs Pulsar; UNKNOWN; 1980; one; one passenger; 6.1; 7.62; 7.4; 299.0; 544.0; 165.0; 156.0; 43.0; 782.0; 64.0; 86.0
Star-Lite Warp 1-A; 1996; 1990; one; UNKNOWN; UNKNOWN; 7.62; 8.129; 113.0; 261.0; UNKNOWN; 83.0; 35.0; UNKNOWN; 19.0; 37.0
Synairgie Jet Ranger; UNKNOWN; 1990; one; one passenger; 5.73; 9.14; 14.0; 185.0; 450.0; 83.0; 69.0; 28.0; 174.0; UNKNOWN; 48.0
TL Ultralight TL-22 Duo; UNKNOWN; 1990; one; one passenger; UNKNOWN; 10.6; 13.81; 160.0; 361.0; 65.0; 38.0; 23.0; 174.0; UNKNOWN; 48.0
Time Warp Spitfire Mk V; UNKNOWN; 1990; one; UNKNOWN; 5.61; 7.01; 7.605; 272.0; 499.0; 174.0; 148.0; 39.0; 739.0; 100.0; 75.0
Theiss Speedster; UNKNOWN; 1990; one; UNKNOWN; 4.17; 5.33; 7.2; 114.0; 209.0; 65.0; 54.0; 25.0; 109.0; 19.0; 30.0
Ultracraft Calypso; UNKNOWN; 1990; one; one passenger; 5.5; 8.65; 11.6; 155.0; 285.0; UNKNOWN; 65.0; 31.0; UNKNOWN; UNKNOWN; 30.0
V-STOL XC 2000T; 1997; 1990; one; one passenger; 6.1; 9.75; 16.35; 172.0; 404.0; 78.0; 35.0; 17.0; 87.0; 38.0; 30.0
V-STOL Super Solution 2000; UNKNOWN; 1990; one; one passenger; 6.1; 9.75; 15.33; 172.0; 404.0; UNKNOWN; 35.0; UNKNOWN; 87.0; 38.0; 34.0
Mathews Mr Easy; UNKNOWN; 1990; one; UNKNOWN; UNKNOWN; 7.32; 13.47; 113.0; 220.0; 55.0; 43.0; 24.0; 104.0; 19.0; 30.0
Vintage Ultralight SR-1 Hornet; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 10.06; 20.44; 111.0; 272.0; 55.0; 43.0; 14.0; UNKNOWN; 19.0; 26.0
Warner Revolution I; UNKNOWN; 1990; one; UNKNOWN; 5.49; 7.92; UNKNOWN; 245.0; 381.0; 109.0; 87.0; 39.0; 261.0; UNKNOWN; 48.0
Warner Revolution II; UNKNOWN; 1990; one; one passenger; 5.99; 8.53; 11.71; 363.0; 635.0; UNKNOWN; 100.0; 36.0; 261.0; 64.0; 93.0
Air Command Commander Sport; UNKNOWN; 1990; one; UNKNOWN; 3.25; UNKNOWN; UNKNOWN; 125.0; 340.0; 83.0; 56.0; UNKNOWN; UNKNOWN; 34.0; 48.0
Amax Double Eagle TT; UNKNOWN; 1990; one; one passenger; 3.96; UNKNOWN; UNKNOWN; 261.0; 522.0; 87.0; 61.0; UNKNOWN; 261.0; 45.0; 110.0
Amax Eagle TT; UNKNOWN; 1990; one; UNKNOWN; 3.05; UNKNOWN; UNKNOWN; 186.0; 386.0; 87.0; 61.0; UNKNOWN; 261.0; 45.0; 82.0
Amax Eagle; UNKNOWN; 1990; one; UNKNOWN; 3.05; UNKNOWN; UNKNOWN; 186.0; 386.0; 78.0; 61.0; UNKNOWN; 261.0; 45.0; 82.0
Chasle YC-100 Hirondelle; 1985; 1980; one; UNKNOWN; 5.43; 8.3; 11.25; 110.0; UNKNOWN; 70.0; 54.0; 24.0; UNKNOWN; UNKNOWN; 18.0
FK-Lightplanes SW51 Mustang; 2014; 2010; one; one passenger; 6.88; 7.9; UNKNOWN; 288.0; 472.5; UNKNOWN; 151.0; 35.0; 900.0; UNKNOWN; 75.0
Phoenix Industries CV1 ParaFlyer; UNKNOWN; 1990; one; UNKNOWN; 1.8; 9.1; 29.3; 54.0; 163.0; UNKNOWN; 17.0; UNKNOWN; 26.0; 9.5; 16.0
Phoenix Industries Sport; UNKNOWN; 1990; one; UNKNOWN; 2.1; 10.0; 37.0; 102.0; 236.0; 22.0; 22.0; UNKNOWN; 30.0; 19.0; 30.0
